"subid","site","age","cond","q","answer","order","polite","q_kind"
"160108-02_2A17","india","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"160108-03_2A40","india","6","exp","trial2_Swhy.code",NA,"2","polite","speaker_why"
"160108-04_2A57","india","6","exp","trial2_Swhy.code","misc","2","polite","speaker_why"
"160108-05_2A65","india","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"160108-06_2A62","india","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"160108-07_2A8","india","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"160108-08_2A20","india","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"160108-09_2A60","india","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"160108-11_2A16","india","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"160108-12_2A24","india","6","exp","trial2_Swhy.code","reite","2","polite","speaker_why"
"160108-13_2A55","india","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"21216_01","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"21716_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"21916_01","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"21916_04","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"21916_06","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"21416_01","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"21716_02","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"21716_05","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"21916_03","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"20416-01","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"20416-02","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"20416-03","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"20416_04","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"20716_01","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"20716_02","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"21416_03","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"21716_03","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"21416_02","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"21716_04","us","6","exp","trial2_Swhy.code",NA,"2","polite","speaker_why"
"21816_01","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"21816_02","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"21916_02","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"21916_05","us","6","exp","trial2_Swhy.code","reite","2","polite","speaker_why"
"22616_01","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"3216_01","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"32316_01","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"32416_01","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"32516_01","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"33116_01","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"33116_02","us","8","exp","trial2_Swhy.code","verac","2","polite","speaker_why"
"33116_03","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"33116_04","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"33116_05","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"40116_01","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"40116_02","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"40216_01","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"40216_02","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"40216_03","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"40616_01","us","6","exp","trial2_Swhy.code","chara","2","polite","speaker_why"
"41216_01","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"41216_02","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"41216_03","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"41316_01","us","6","exp","trial2_Swhy.code","reite","2","polite","speaker_why"
"41316_02","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"41516_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"41516_02","us","8","exp","trial2_Swhy.code","misc","2","polite","speaker_why"
"41516_03","us","6","exp","trial2_Swhy.code","misc","2","polite","speaker_why"
"41516_04","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"41516_05","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"41516_06","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"42016_01","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"42016_02","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"42216_01","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"42216_02","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"42216_03","us","6","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"42716_01","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"42716_02","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"42716_03","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"42716_04","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"42816_01","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"42816_02","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"51416_01","us","4","exp","trial2_Swhy.code","verac","2","polite","speaker_why"
"51416_02","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"51416_03","us","6","exp","trial2_Swhy.code","verac","2","polite","speaker_why"
"51816_01","us","6","exp","trial2_Swhy.code","reite","2","polite","speaker_why"
"51816_02","us","4","exp","trial2_Swhy.code","reite","2","polite","speaker_why"
"51816_03","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"51816_04","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"51816_05","us","6","exp","trial2_Swhy.code","","2","polite","speaker_why"
"52216_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"52216_02","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"52616_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"52616_02","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"53016_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5316_01","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5416_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5416_02","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5416_03","us","8","exp","trial2_Swhy.code","other","2","polite","speaker_why"
"5616_01","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5816_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5816_02","us","6","exp","trial2_Swhy.code","","2","polite","speaker_why"
"5816_03","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5816_04","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5816_05","us","8","exp","trial2_Swhy.code","","2","polite","speaker_why"
"5816_06","us","6","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5816_07","us","6","exp","trial2_Swhy.code",NA,"2","polite","speaker_why"
"5816_08","us","6","exp","trial2_Swhy.code","reite","2","polite","speaker_why"
"5816_09","us","6","exp","trial2_Swhy.code","reite","2","polite","speaker_why"
"61216_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"61216_02","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"61916_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"61916_02","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"6816_01","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"6816_02","us","8","cont","trial2_Swhy.code",NA,"2","polite","speaker_why"
"160105-01_3A1","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160105-02_3A56","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160105-03_3A44","india","8","exp","trial3_Swhy.code","misc","3","polite","speaker_why"
"160105-04_3A34","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160105-08_1A11","india","6","exp","trial3_Swhy.code","verac","3","polite","speaker_why"
"160105-09_1A12","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160106-01_3A40","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160106-02_3A48","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160106-03_3A14","india","8","exp","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160106-04_3A4","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160106-05_3A20","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160106-06_3A52","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160106-07_3A55","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160106-08_3A27","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160106-09_3A58","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160106-10_3A17","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160106-11_3A50","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160106-12_3A54","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160106-13_3A16","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160106-14_3A59","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160106-15_3A3","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160106-16_3A61","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160107-01_1A52","india","6","exp","trial3_Swhy.code","verac","3","polite","speaker_why"
"160107-02_1A55","india","6","exp","trial3_Swhy.code","misc","3","polite","speaker_why"
"160107-03_1A53","india","6","exp","trial3_Swhy.code","reite","3","polite","speaker_why"
"160107-04_1A5","india","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160107-05_1A10","india","6","exp","trial3_Swhy.code","reite","3","polite","speaker_why"
"160107-06_1A23","india","6","exp","trial3_Swhy.code","reite","3","polite","speaker_why"
"160107-07_1A18","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160107-08_1A56","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160107-11_1A44","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160107-12_1A46","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160107-13_1A58","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160108-01_2A49","india","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160108-02_2A17","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160108-03_2A40","india","6","exp","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160108-04_2A57","india","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160108-05_2A65","india","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160108-06_2A62","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160108-07_2A8","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160108-08_2A20","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160108-09_2A60","india","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"160108-11_2A16","india","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160108-12_2A24","india","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"160108-13_2A55","india","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"21216_01","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"21716_01","us","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"21916_01","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"21916_04","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"21916_06","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"21416_01","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"21716_02","us","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"21716_05","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"21916_03","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"20416-01","us","8","exp","trial3_Swhy.code",NA,"3","polite","speaker_why"
"20416-02","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"20416-03","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"20416_04","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"20716_01","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"20716_02","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"21416_03","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"21716_03","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"21416_02","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"21716_04","us","6","exp","trial3_Swhy.code",NA,"3","polite","speaker_why"
"21816_01","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"21816_02","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"21916_02","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"21916_05","us","6","exp","trial3_Swhy.code","reite","3","polite","speaker_why"
"22616_01","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"3216_01","us","8","exp","trial3_Swhy.code",NA,"3","polite","speaker_why"
"32316_01","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"32416_01","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"32516_01","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"33116_01","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"33116_02","us","8","exp","trial3_Swhy.code","verac","3","polite","speaker_why"
"33116_03","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"33116_04","us","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"33116_05","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"40116_01","us","8","exp","trial3_Swhy.code","chara","3","polite","speaker_why"
"40116_02","us","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"40216_01","us","8","exp","trial3_Swhy.code","chara","3","polite","speaker_why"
"40216_02","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"40216_03","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"40616_01","us","6","exp","trial3_Swhy.code","chara","3","polite","speaker_why"
"41216_01","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"41216_02","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"41216_03","us","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"41316_01","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"41316_02","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"41516_01","us","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"41516_02","us","8","exp","trial3_Swhy.code","misc","3","polite","speaker_why"
"41516_03","us","6","exp","trial3_Swhy.code","reit","3","polite","speaker_why"
"41516_04","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"41516_05","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"41516_06","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"42016_01","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"42016_02","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"42216_01","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"42216_02","us","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"42216_03","us","6","exp","trial3_Swhy.code","other","3","polite","speaker_why"
"42716_01","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"42716_02","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"42716_03","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"42716_04","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"42816_01","us","6","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"42816_02","us","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"51416_01","us","4","exp","trial3_Swhy.code","reite","3","polite","speaker_why"
"51416_02","us","8","cont","trial3_Swhy.code",NA,"3","polite","speaker_why"
"51416_03","us","6","exp","trial3_Swhy.code","verac","3","polite","speaker_why"
"51816_01","us","6","exp","trial3_Swhy.code","misc","3","polite","speaker_why"
"51816_02","us","4","exp","trial3_Swhy.code",NA,"3","polite","speaker_why"
"51816_03","us","8","exp","trial3_Swhy.code","other","3","polite","speaker_why"
